City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,1/1/2015 0:00,,,0.92,18.22,17.15,,0.92,27.64,133.36,0,0.02,0,,
Aizawl,3/11/2020 0:00,32.69,47.91,6.99,2.85,11.93,26.64,0.6,4.53,4.48,0.03,0.3,,,
Amaravati,11/24/2017 0:00,71.36,115.75,1.75,20.65,12.4,12.19,0.1,10.76,109.26,0.17,5.92,0.1,,
Amritsar,2/27/2017 0:00,13.42,14.92,15.06,8.86,,1.6,0.81,11,12.96,,,,,
Bengaluru,1/1/2015 0:00,,,3.26,17.33,10.88,20.36,0.33,3.54,10.73,0.56,4.64,,,
Bhopal,9/17/2019 0:00,23.12,43.95,13.38,38.58,31.4,34.63,1.52,10.53,41.86,,,,,
Brajrajnagar,12/7/2017 0:00,171.38,311.68,,41.07,,7.78,3.26,5.83,4.69,0,,,,
Chandigarh,9/2/2019 0:00,13.62,87.4,8.15,4.28,12.15,0.78,0.55,10.12,45.86,3.42,0.33,4.15,,
Chennai,1/1/2015 0:00,,,16.3,15.39,22.68,4.59,1.17,9.2,11.35,0.17,,,,
Coimbatore,6/12/2019 0:00,38.46,43.49,6.68,4.31,10.98,9.32,1.16,10.25,29.8,0.04,0.43,,,
Delhi,1/1/2015 0:00,313.22,607.98,69.16,36.39,110.59,33.85,15.2,9.25,41.68,14.36,24.86,9.84,472,Severe
Ernakulam,1/22/2020 0:00,37.48,80.65,127.81,7.76,135.57,101.97,1.94,3.34,,0.64,1.01,0.12,,
Gurugram,11/27/2015 0:00,,,5.28,8.37,9.57,,2.88,15.92,5.96,,,,,
Guwahati,2/16/2019 0:00,124.77,187.08,,,,,,,,,,,,
Hyderabad,1/4/2015 0:00,,,3.7,17.19,20.89,,0.3,2.58,30.34,0.41,6.15,1.11,,
Jaipur,6/14/2017 0:00,,,,,,,,,,,,,,
Jorapokhar,4/20/2017 0:00,,119.49,7.75,9.26,,,0.32,28.43,18.88,,,,,
Kochi,1/22/2020 0:00,46.54,113.87,21.86,84.84,99.99,27.89,1.25,7.01,19.69,,0,,,
Kolkata,4/10/2018 0:00,34.38,57,,40.97,,2.52,1,25.46,,,,,,
Lucknow,1/1/2015 0:00,,,2.11,13.46,4.57,,12.15,169.57,25.92,1.35,3.93,,,
Mumbai,1/1/2015 0:00,,,,,27.38,,0,,,0,0,0,,
Patna,6/1/2015 0:00,,,14.41,25.06,39.32,,1.56,1.8,8.89,0,0.29,0,,
Shillong,8/27/2019 0:00,28.43,37.88,1.27,3.56,1.39,3.66,0.35,4.99,32.93,0.31,,,,
Talcher,12/20/2017 0:00,,,,,,,3.6,,0.02,,,,,
Thiruvananthapuram,6/16/2017 0:00,38,10,2.7,7.1,6.2,,0.71,4.1,18.3,,,,,
Visakhapatnam,7/1/2016 0:00,44.92,82.5,16.75,56.96,40.24,62.45,1,38.67,10.45,6.43,12.5,3.42,,
